Country,Longitude,Latitude,Artist,Listeners,longitude_offset,latitude_offset
Russian Federation,61.524,105.3188,Linkin Park,5427114,60.077196709405236,107.2192890582658
Russian Federation,61.524,105.3188,Red Hot Chili Peppers,6036073,60.99846136221855,104.7254052798174
Russian Federation,61.524,105.3188,Queen,5891543,61.31704562619302,104.45519368517532
Russian Federation,61.524,105.3188,Radiohead,6589277,60.143702921475594,104.50965593421078
Russian Federation,61.524,105.3188,Nirvana,6095792,63.46557050348049,103.9160101611112
Russian Federation,61.524,105.3188,Depeche Mode,3639554,61.3088166375276,104.5548873746192
Russian Federation,61.524,105.3188,Lana Del Rey,4089352,60.180401954858006,107.26658324755014
Russian Federation,61.524,105.3188,Muse,5211484,62.492954510701665,106.09114933247426
Russian Federation,61.524,105.3188,Coldplay,7483430,61.77337838804254,106.90134597961698
Russian Federation,61.524,105.3188,Moby,3100170,59.837290992260876,107.14798903487947
Germany,51.1657,10.4515,Queen,5891543,50.811001216467595,11.775170223501556
Germany,51.1657,10.4515,Coldplay,7483430,50.049462562565296,10.298353468216757
Germany,51.1657,10.4515,Red Hot Chili Peppers,6036073,52.70998076099672,11.645082294505842
Germany,51.1657,10.4515,David Bowie,4621259,49.68648538040807,10.522146658924518
Germany,51.1657,10.4515,Ed Sheeran,3323699,49.5668176513993,9.764622295063395
Germany,51.1657,10.4515,Nirvana,6095792,50.48276580987412,10.516149375364364
Germany,51.1657,10.4515,The Rolling Stones,5025373,49.48071012366719,10.130881480040642
Germany,51.1657,10.4515,The Beatles,5334045,50.878161443020424,10.289661785671193
Germany,51.1657,10.4515,Radiohead,6589277,50.64908607973786,10.696390748901898
Germany,51.1657,10.4515,Linkin Park,5427114,51.3775411253288,10.013521681056321
United Kingdom,55.3781,-3.436,David Bowie,4621259,56.22069899380031,-4.613459063657142
United Kingdom,55.3781,-3.436,Radiohead,6589277,55.54811170709874,-3.2217116577559457
United Kingdom,55.3781,-3.436,Fleetwood Mac,3704944,53.618766036116874,-1.9486585885372913
United Kingdom,55.3781,-3.436,Queen,5891543,55.25958290874464,-2.189371295537482
United Kingdom,55.3781,-3.436,Coldplay,7483430,53.526103030290315,-2.011829766387918
United Kingdom,55.3781,-3.436,The Beatles,5334045,53.50169533738536,-2.423298534297365
United Kingdom,55.3781,-3.436,The Rolling Stones,5025373,54.920752041801855,-1.709458033664483
United Kingdom,55.3781,-3.436,Elton John,4214075,56.6974632969543,-3.5845426134538028
United Kingdom,55.3781,-3.436,Michael Jackson,5325643,55.8441155155612,-2.789756948514786
United Kingdom,55.3781,-3.436,Daft Punk,5226051,54.10739065403786,-4.140034051662216
France,46.6034,1.8883,Radiohead,6589277,46.248492975218724,2.189353237354162
