Name,Playcount,Listeners
Billie Eilish,427137538,2959926
Kendrick Lamar,556675098,3716714
The Weeknd,664991332,3981166
Taylor Swift,2420243869,4690572
Sabrina Carpenter,141584192,1718816
Kanye West,1046095968,6644428
Lana Del Rey,979426937,4090773
"Tyler, the Creator",534119755,2938286
Drake,708287753,5589272
Ariana Grande,651890805,3310584
Rihanna,387750004,6779315
Frank Ocean,483843333,3196653
SZA,338098755,2499323
Arctic Monkeys,648579777,5681809
Radiohead,870094159,6590662
Travis Scott,346345385,2092875
Olivia Rodrigo,331733059,2176550
Mitski,388928739,2194971
Lady Gaga,566132480,5910937
Doja Cat,295410778,2568387
Future,254688931,2309942
Eminem,405222020,6530670
Beyoncé,482147276,5536738
Childish Gambino,203109850,2794066
Charli XCX,244405888,2239165
Tame Impala,252244598,3087361
Steve Lacy,168350901,2108857
The Neighbourhood,231177551,2829603
Coldplay,570675848,7484942
Chappell Roan,55610939,845959
Hozier,155040989,2461269
Post Malone,226378711,2635142
Gorillaz,343242977,5428474
Bruno Mars,177999801,3931597
A$AP Rocky,199722804,2480350
TV Girl,137819783,1745829
Clairo,140887251,1883199
Nirvana,392791243,6097198
The Smiths,346462750,3852885
Harry Styles,297722161,2412034
Katy Perry,287654530,5708065
Dua Lipa,226805150,2479004
pinkpantheress,125518272,1809338
Paramore,363158398,4249100
Mac DeMarco,200921661,2238895
Kali Uchis,186336454,2104483
The Beatles,778568429,5335203
Tommy Richman,9399324,781347
Calvin Harris,146454411,3972128
The Strokes,329171678,4707893
