Country,Longitude,Latitude,Artist,Listeners
Russian Federation,61.524,105.3188,Linkin Park,5427114
Russian Federation,61.524,105.3188,Red Hot Chili Peppers,6036073
Russian Federation,61.524,105.3188,Queen,5891543
Russian Federation,61.524,105.3188,Radiohead,6589277
Russian Federation,61.524,105.3188,Nirvana,6095792
Russian Federation,61.524,105.3188,Depeche Mode,3639554
Russian Federation,61.524,105.3188,Lana Del Rey,4089352
Russian Federation,61.524,105.3188,Muse,5211484
Russian Federation,61.524,105.3188,Coldplay,7483430
Russian Federation,61.524,105.3188,Moby,3100170
Germany,51.1657,10.4515,Queen,5891543
Germany,51.1657,10.4515,Coldplay,7483430
Germany,51.1657,10.4515,Red Hot Chili Peppers,6036073
Germany,51.1657,10.4515,David Bowie,4621259
Germany,51.1657,10.4515,Ed Sheeran,3323699
Germany,51.1657,10.4515,Nirvana,6095792
Germany,51.1657,10.4515,The Rolling Stones,5025373
Germany,51.1657,10.4515,The Beatles,5334045
Germany,51.1657,10.4515,Radiohead,6589277
Germany,51.1657,10.4515,Linkin Park,5427114
United Kingdom,55.3781,-3.436,David Bowie,4621259
United Kingdom,55.3781,-3.436,Radiohead,6589277
United Kingdom,55.3781,-3.436,Fleetwood Mac,3704944
United Kingdom,55.3781,-3.436,Queen,5891543
United Kingdom,55.3781,-3.436,Coldplay,7483430
United Kingdom,55.3781,-3.436,The Beatles,5334045
United Kingdom,55.3781,-3.436,The Rolling Stones,5025373
United Kingdom,55.3781,-3.436,Elton John,4214075
United Kingdom,55.3781,-3.436,Michael Jackson,5325643
United Kingdom,55.3781,-3.436,Daft Punk,5226051
France,46.6034,1.8883,Radiohead,6589277
France,46.6034,1.8883,David Bowie,4621259
France,46.6034,1.8883,Daft Punk,5226051
France,46.6034,1.8883,Queen,5891543
France,46.6034,1.8883,Coldplay,7483430
France,46.6034,1.8883,The Beatles,5334045
France,46.6034,1.8883,The Rolling Stones,5025373
France,46.6034,1.8883,Red Hot Chili Peppers,6036073
France,46.6034,1.8883,Michael Jackson,5325643
France,46.6034,1.8883,Nirvana,6095792
Italy,41.8719,12.5674,David Bowie,4621259
Italy,41.8719,12.5674,Radiohead,6589277
Italy,41.8719,12.5674,Pink Floyd,4426284
Italy,41.8719,12.5674,Queen,5891543
Italy,41.8719,12.5674,Coldplay,7483430
Italy,41.8719,12.5674,The Beatles,5334045
Italy,41.8719,12.5674,The Rolling Stones,5025373
Italy,41.8719,12.5674,The Cure,4338832
Italy,41.8719,12.5674,Nirvana,6095792
Italy,41.8719,12.5674,Red Hot Chili Peppers,6036073
Spain,40.4637,-3.7492,David Bowie,4621259
Spain,40.4637,-3.7492,Queen,5891543
Spain,40.4637,-3.7492,Coldplay,7483430
Spain,40.4637,-3.7492,Radiohead,6589277
Spain,40.4637,-3.7492,The Rolling Stones,5025373
Spain,40.4637,-3.7492,The Beatles,5334045
Spain,40.4637,-3.7492,Muse,5211484
Spain,40.4637,-3.7492,The Cure,4338832
Spain,40.4637,-3.7492,Daft Punk,5226051
Spain,40.4637,-3.7492,The Weeknd,3979631
Ukraine,48.3794,31.1656,Radiohead,6589277
Ukraine,48.3794,31.1656,Red Hot Chili Peppers,6036073
Ukraine,48.3794,31.1656,Linkin Park,5427114
Ukraine,48.3794,31.1656,Muse,5211484
Ukraine,48.3794,31.1656,Coldplay,7483430
Ukraine,48.3794,31.1656,Nirvana,6095792
Ukraine,48.3794,31.1656,Queen,5891543
Ukraine,48.3794,31.1656,Metallica,4096612
Ukraine,48.3794,31.1656,Depeche Mode,3639554
Ukraine,48.3794,31.1656,Lana Del Rey,4089352
Poland,51.9194,19.1451,Coldplay,7483430
Poland,51.9194,19.1451,Queen,5891543
Poland,51.9194,19.1451,Red Hot Chili Peppers,6036073
Poland,51.9194,19.1451,Metallica,4096612
Poland,51.9194,19.1451,Ed Sheeran,3323699
Poland,51.9194,19.1451,David Bowie,4621259
Poland,51.9194,19.1451,Arctic Monkeys,5680270
Poland,51.9194,19.1451,Radiohead,6589277
Poland,51.9194,19.1451,Sia,3515677
Poland,51.9194,19.1451,Nirvana,6095792
Netherlands,52.1326,5.2913,Coldplay,7483430
Netherlands,52.1326,5.2913,David Bowie,4621259
Netherlands,52.1326,5.2913,Queen,5891543
Netherlands,52.1326,5.2913,Radiohead,6589277
Netherlands,52.1326,5.2913,Fleetwood Mac,3704944
Netherlands,52.1326,5.2913,The Rolling Stones,5025373
Netherlands,52.1326,5.2913,The Beatles,5334045
Netherlands,52.1326,5.2913,Red Hot Chili Peppers,6036073
Netherlands,52.1326,5.2913,Ed Sheeran,3323699
Netherlands,52.1326,5.2913,Michael Jackson,5325643
Belgium,50.5039,4.4699,David Bowie,4621259
Belgium,50.5039,4.4699,Radiohead,6589277
Belgium,50.5039,4.4699,Coldplay,7483430
Belgium,50.5039,4.4699,The Beatles,5334045
Belgium,50.5039,4.4699,Queen,5891543
Belgium,50.5039,4.4699,The Rolling Stones,5025373
Belgium,50.5039,4.4699,Fleetwood Mac,3704944
Belgium,50.5039,4.4699,Daft Punk,5226051
Belgium,50.5039,4.4699,Red Hot Chili Peppers,6036073
Belgium,50.5039,4.4699,Nirvana,6095792
China,35.8617,104.1954,Coldplay,7483430
China,35.8617,104.1954,Adele,4574218
China,35.8617,104.1954,Taylor Swift,4689314
China,35.8617,104.1954,Ed Sheeran,3323699
China,35.8617,104.1954,Maroon 5,5305919
China,35.8617,104.1954,Rihanna,6777743
China,35.8617,104.1954,The Weeknd,3979631
China,35.8617,104.1954,Lana Del Rey,4089352
China,35.8617,104.1954,Lady Gaga,5909551
China,35.8617,104.1954,Sia,3515677
India,20.5937,78.9629,Coldplay,7483430
India,20.5937,78.9629,Pink Floyd,4426284
India,20.5937,78.9629,Ed Sheeran,3323699
India,20.5937,78.9629,The Weeknd,3979631
India,20.5937,78.9629,A.R. Rahman,601891
India,20.5937,78.9629,The Beatles,5334045
India,20.5937,78.9629,Led Zeppelin,4023954
India,20.5937,78.9629,Radiohead,6589277
India,20.5937,78.9629,Linkin Park,5427114
