Name,Artist,Playcount,Listeners
Lunch,Billie Eilish,8427222,860533
espresso,Sabrina Carpenter,17587357,979490
BIRDS OF A FEATHER,Billie Eilish,9936386,826641
CHIHIRO,Billie Eilish,7433927,704375
Not Like Us,Kendrick Lamar,9316638,846185
"Good Luck, Babe!",Chappell Roan,11283960,663107
Please Please Please,Sabrina Carpenter,5113283,537114
MILLION DOLLAR BABY,Tommy Richman,6729662,727817
Wildflower,Billie Eilish,5101197,547445
360,Charli XCX,5119833,476745
SKINNY,Billie Eilish,4020410,552554
L’Amour De Ma Vie,Billie Eilish,4321785,491793
See You Again (feat. Kali Uchis),"Tyler, the Creator",30167999,1565545
Too Sweet,Hozier,8145510,714827
The Diner,Billie Eilish,3862024,472499
THE GREATEST,Billie Eilish,4142689,481851
BLUE,Billie Eilish,3935642,466839
Pink + White,Frank Ocean,36273761,1632194
My Love Mine All Mine,Mitski,28282078,1240400
we can't be friends (wait for your love),Ariana Grande,13894473,717176
CLUB CLASSICS,Charli XCX,3559362,388470
End of Beginning,Djo,13056372,969006
Von Dutch,Charli XCX,5695478,425460
Like That,Future,8769635,700318
Sympathy is a knife,Charli XCX,2340389,351843
BITTERSUITE,Billie Eilish,3317174,428789
Lovers Rock,TV Girl,26329410,1288607
Talk talk,Charli XCX,2070177,341728
Fortnight (feat. Post Malone),Taylor Swift,9835512,675759
Feather,Sabrina Carpenter,14068617,788405
Red Wine Supernova,Chappell Roan,7413532,468452
euphoria,Kendrick Lamar,6255706,677767
HOT TO GO!,Chappell Roan,5866099,420140
I like the way you kiss me,Artemas,7171805,669479
I might say something stupid,Charli XCX,1448987,316233
Sweater Weather,The Neighbourhood,29995281,2006267
Kill Bill,SZA,29432361,1487385
The Less I Know the Better,Tame Impala,28570364,1820269
Everything is romantic,Charli XCX,1824900,301610
Houdini,Eminem,2025730,286216
Everlong,Foo Fighters,29354286,2339983
Rewind,Charli XCX,1375122,284458
Sexy To Someone,Clairo,1787689,277914
I Can Do It With a Broken Heart,Taylor Swift,7770379,479966
Money Trees,Kendrick Lamar,21344435,1421801
Nonsense,Sabrina Carpenter,15364703,854299
B2b,Charli XCX,3099056,303397
FE!N (feat. Playboi Carti),Travis Scott,13914938,770953
So I,Charli XCX,1215865,272306
Pain,pinkpantheress,18488086,1081424
