Country,Name,Artist,Listeners,Longitude,Latitude
Russian Federation,Smells Like Teen Spirit,Nirvana,3206072,61.524,105.3188
Russian Federation,Seven Nation Army,The White Stripes,2343189,61.524,105.3188
Russian Federation,Numb,Linkin Park,2126574,61.524,105.3188
Russian Federation,Intro,The xx,1432916,61.524,105.3188
Russian Federation,Feel Good Inc.,Gorillaz,2661048,61.524,105.3188
Russian Federation,In the End,Linkin Park,2311704,61.524,105.3188
Russian Federation,Californication,Red Hot Chili Peppers,2364578,61.524,105.3188
Russian Federation,Creep,Radiohead,2870305,61.524,105.3188
Russian Federation,Take on Me,a-ha,2148860,61.524,105.3188
Russian Federation,Zombie,The Cranberries,2012693,61.524,105.3188
Germany,Smells Like Teen Spirit,Nirvana,3206072,51.1657,10.4515
Germany,Africa,Toto,1647599,51.1657,10.4515
Germany,Mr. Brightside,The Killers,3072882,51.1657,10.4515
Germany,Come as You Are,Nirvana,2829904,51.1657,10.4515
Germany,In the End,Linkin Park,2311704,51.1657,10.4515
Germany,Don't Stop Believin',Journey,1655330,51.1657,10.4515
Germany,Seven Nation Army,The White Stripes,2343189,51.1657,10.4515
Germany,Chop Suey!,System of a Down,2359479,51.1657,10.4515
Germany,Californication,Red Hot Chili Peppers,2364578,51.1657,10.4515
Germany,All I Want for Christmas Is You,Mariah Carey,1669836,51.1657,10.4515
United Kingdom,Mr. Brightside,The Killers,3072882,55.3781,-3.436
United Kingdom,All I Want for Christmas Is You,Mariah Carey,1669836,55.3781,-3.436
United Kingdom,Africa,Toto,1647599,55.3781,-3.436
United Kingdom,Smells Like Teen Spirit,Nirvana,3206072,55.3781,-3.436
United Kingdom,Last Christmas,Wham!,1448945,55.3781,-3.436
United Kingdom,Seven Nation Army,The White Stripes,2343189,55.3781,-3.436
United Kingdom,Take on Me,a-ha,2148860,55.3781,-3.436
United Kingdom,Take Me Out,Franz Ferdinand,2363976,55.3781,-3.436
United Kingdom,Everybody Wants to Rule the World,Tears for Fears,1938938,55.3781,-3.436
United Kingdom,Come as You Are,Nirvana,2829904,55.3781,-3.436
France,Smells Like Teen Spirit,Nirvana,3206072,46.6034,1.8883
France,Creep,Radiohead,2870305,46.6034,1.8883
