Country,Name,Artist,Listeners,Longitude,Latitude,longitude_offset,latitude_offset
Russian Federation,Smells Like Teen Spirit,Nirvana,3206072,61.524,105.3188,61.58911250892494,106.60848655563278
Russian Federation,Seven Nation Army,The White Stripes,2343189,61.524,105.3188,62.17344754804528,104.3522345069951
Russian Federation,Numb,Linkin Park,2126574,61.524,105.3188,61.08327963964057,106.89029900645039
Russian Federation,Intro,The xx,1432916,61.524,105.3188,60.87418520750655,105.68298421248674
Russian Federation,Feel Good Inc.,Gorillaz,2661048,61.524,105.3188,60.109697659404176,106.06113287888478
Russian Federation,In the End,Linkin Park,2311704,61.524,105.3188,60.97679350176492,105.97686954295139
Russian Federation,Californication,Red Hot Chili Peppers,2364578,61.524,105.3188,62.97632817174534,104.27413514550385
Russian Federation,Creep,Radiohead,2870305,61.524,105.3188,61.86321820812456,106.2267973169225
Russian Federation,Take on Me,a-ha,2148860,61.524,105.3188,62.86343914285797,103.41394645154672
Russian Federation,Zombie,The Cranberries,2012693,61.524,105.3188,63.49204566482123,104.57992982574117
Germany,Smells Like Teen Spirit,Nirvana,3206072,51.1657,10.4515,49.21968340190231,10.168041500309776
Germany,Africa,Toto,1647599,51.1657,10.4515,49.18993304554296,9.649765514248212
Germany,Mr. Brightside,The Killers,3072882,51.1657,10.4515,51.698582355266055,10.99760033535764
Germany,Come as You Are,Nirvana,2829904,51.1657,10.4515,50.75777288075363,11.318123076139978
Germany,In the End,Linkin Park,2311704,51.1657,10.4515,49.45473659247644,9.715038975314013
Germany,Don't Stop Believin',Journey,1655330,51.1657,10.4515,49.99876807349824,10.360517728763455
Germany,Seven Nation Army,The White Stripes,2343189,51.1657,10.4515,50.043658206645375,12.267358644836635
Germany,Chop Suey!,System of a Down,2359479,51.1657,10.4515,49.6097530118257,9.959776345946144
Germany,Californication,Red Hot Chili Peppers,2364578,51.1657,10.4515,52.74916522869011,9.03907801308599
Germany,All I Want for Christmas Is You,Mariah Carey,1669836,51.1657,10.4515,50.33309272180991,10.091298250330725
United Kingdom,Mr. Brightside,The Killers,3072882,55.3781,-3.436,55.35299058286307,-5.258595212651053
United Kingdom,All I Want for Christmas Is You,Mariah Carey,1669836,55.3781,-3.436,54.13259379707942,-4.561662328343332
United Kingdom,Africa,Toto,1647599,55.3781,-3.436,53.41634080172441,-4.556863095683985
United Kingdom,Smells Like Teen Spirit,Nirvana,3206072,55.3781,-3.436,55.734292342454765,-4.547727734848426
United Kingdom,Last Christmas,Wham!,1448945,55.3781,-3.436,56.20077534837988,-3.7049318363716415
United Kingdom,Seven Nation Army,The White Stripes,2343189,55.3781,-3.436,55.30733338703396,-4.950271135856456
United Kingdom,Take on Me,a-ha,2148860,55.3781,-3.436,55.10337794102975,-1.8310948900086288
United Kingdom,Take Me Out,Franz Ferdinand,2363976,55.3781,-3.436,55.69256457574438,-4.69343352219904
United Kingdom,Everybody Wants to Rule the World,Tears for Fears,1938938,55.3781,-3.436,55.91278648349758,-4.993680136389624
United Kingdom,Come as You Are,Nirvana,2829904,55.3781,-3.436,54.62187405890754,-5.398404656363545
France,Smells Like Teen Spirit,Nirvana,3206072,46.6034,1.8883,47.54375492730183,0.7015755101111427
France,Creep,Radiohead,2870305,46.6034,1.8883,46.13198479052814,0.890382976592087
France,Seven Nation Army,The White Stripes,2343189,46.6034,1.8883,44.97155026069613,1.1613921305965325
France,Teardrop,Massive Attack,1600282,46.6034,1.8883,46.09940110994469,3.2782868821754554
France,Karma Police,Radiohead,2466252,46.6034,1.8883,47.81958124253057,1.4484940757617166
France,Come as You Are,Nirvana,2829904,46.6034,1.8883,45.93359121540937,3.7415517035973016
France,No Surprises,Radiohead,2364438,46.6034,1.8883,46.866082518545866,3.190963345773941
France,Wonderwall,Oasis,2260888,46.6034,1.8883,48.40762329672209,3.5991046346251596
France,Glory Box,Portishead,1264113,46.6034,1.8883,46.53075637896234,3.39006805514944
France,Walk on the Wild Side,Lou Reed,1040518,46.6034,1.8883,47.99256276225542,3.109305589261147
Italy,Creep,Radiohead,2870305,41.8719,12.5674,42.290744418527076,10.975430077726806
Italy,Smells Like Teen Spirit,Nirvana,3206072,41.8719,12.5674,39.95339975023277,13.576599220879489
Italy,Karma Police,Radiohead,2466252,41.8719,12.5674,40.6416022812865,12.849023078481082
Italy,Come as You Are,Nirvana,2829904,41.8719,12.5674,42.15952043412583,13.881911293503594
Italy,Losing My Religion,R.E.M.,1842134,41.8719,12.5674,43.512978367785365,13.712972487844885
Italy,Teardrop,Massive Attack,1600282,41.8719,12.5674,40.01015243540372,14.056560492176445
Italy,Sultans of Swing,Dire Straits,1522259,41.8719,12.5674,41.19391649247654,13.657290708563686
Italy,Boys Don't Cry,The Cure,1717511,41.8719,12.5674,42.010794364933076,10.914432927757034
Italy,Seven Nation Army,The White Stripes,2343189,41.8719,12.5674,41.561658784944655,11.569878497311699
Italy,No Surprises,Radiohead,2364438,41.8719,12.5674,41.244511390040486,13.304503291837962
Spain,Creep,Radiohead,2870305,40.4637,-3.7492,42.132178151809995,-4.432619681523407
Spain,Take Me Out,Franz Ferdinand,2363976,40.4637,-3.7492,41.22196266609614,-4.366127332821514
Spain,Seven Nation Army,The White Stripes,2343189,40.4637,-3.7492,39.43956466671363,-5.405070321980455
